text
"I'm at 東京都庁 (新宿区, 東京都) w/ 4 others http://t.co/I4474TKx"
この発想は無かったわ（笑） http://t.co/K4kDYvdn
@JapanEdge ポートレート了解ですw
@y_akari ふへへ（笑）また遊びましょー
@Norinooooon かわいいじゃんっ
@Norinooooon お、髪形変えた？いいね！
@Reika0114 では、ご来店をお待ちしております笑
@Reika0114 あと、一時間はいるから、浦安来れば？来月だったら、店で指名してラスソン歌えるようにしてください笑
@Reika0114 Bzとか、GLAYとか、AKBとか？
ヒトからー♪ (@ カラオケ Ban Ban 浦安) http://t.co/KidjmC4V
I just became the mayor of カラオケ Ban Ban 浦安 on @foursquare! http://t.co/NIKFo6eG
おお！凄い！RT @memorinclub @kiwipon まとめご本人様。年間ランキング上位に入ったとのことで拝見しました。＞Twitterまとめサイト「Togetter」まとめランキングベスト20 - GIGAZINE http://t.co/3xTFabbr
@Reika0114 俺はレイを喰いてぇ。
懐かしいw RT @memorinclub: .@kiwipon さんの「ツイッタースゲェー」をお気に入りにしました。 http://t.co/i2W2IpbL
@Reika0114 肩揉みさんきゅー
@hansam52 つけめんでふ！
社長と一緒♪ (@ ラーメン万代 w/ @kenji197503) [pic]: http://t.co/7Mc1d6GL
@Reika0114 おっぱいは２つしかありません！
@taiji_utagawa 同姓ですか！？珍しい。。ちなみに３月から赤坂です。
＜ナンバーワンに俺はなる！（海賊王風に）
@taiji_utagawa あっ、そこ行ったことない～（というか、食べられると走らなかった）行ってみる★
@Reika0114 まぁ、巨乳ですから。減るもんじゃないし、いくらでもどうぞ。
@taiji_utagawa あ、、、（今同じフロアに）（間借りさせてもらってます）
@teim1978 おやおや・・・ですね。。
@nacandacalli 歌舞伎町です。
@taiji_utagawa うたさんに会いたいっす・・・！
@taiji_utagawa 今の会社の所在地ですｗソニー・ピクチャーズではないのー。うたさんなんでご存知なの？？
ちなみに明日はホストクラブです。
年末年始で修行（苦行）の旅に出たい。「房総半島一周」か「東京→伊勢神宮」とかを徒歩か自転車でってところで迷っています。
"I'm at 表参道駅 (Omote-sando Sta.) (北青山3-6-12, 港区) w/ 8 others http://t.co/MVTmufL8"
@yuuna_nee ワックスとかヘアピンとかー爪切りとかーボールペンとかー結構いろいろぐちゃぐちゃなので整理するー。
困った人たちだなぁ。何のために政党が有るんだろうね。>>Reading:NHKニュース　民主党議員９人 離党届提出 http://t.co/Fd5QWYhG
自宅にある２２ｗのPCモニタをどうしようかと言う若干の悩み。（HDMIのものに買い直したい）
化粧ポーチみたいなものが欲しいな。帰りに買ってこよ。
@msx44 なんでやねん。
@gabbnott exactly
いつの間にか、謙虚さを置き忘れていた部分が有ったみたい。反省。猛省。
@reika0114 ｗｗ
@shi_ma13 麻布ｗｗ
@poipoi1108 おはよん
"I'm at ニューピア竹芝ノースタワー (海岸1-11-1, 港区) http://t.co/18MYJvA0"
@SHI_MA13 落ち着いて考えたら、ロードが良かった。
@SHI_MA13 迷ってる。。まぁ、ママチャリでもw
@shintakezawa うん。てへ★
明日、自転車買いに行こう。
@JunItabashi もう少し待てば。。
フカヒレ！ http://t.co/rpAuAa25
忘年会！ (@ 天香楼) [pic]: http://t.co/mEdZrAok
"I'm at 石川町駅 (Ishikawacho Sta.) (中区石川町2-72, 横浜市) http://t.co/PwQoabH3"
@gsamakyabe たいへんじゃのぅ
社長が買ってきた！これから回覧♪ http://t.co/w4Q46jeU
@kakkou0412 らしいって話は聞いている。（というか、元からそれに近いではある）詳しくは知らない。という感じ。
引っ越しの時に処分しちゃったので、また買い直そうかな>>紹介 - 「働かざるもの、飢えるべからず。」新書版 http://t.co/pyrzrf8D
今夜は横浜で忘年会！
会社で「山本保博」さんの画像検索が流行って、大変なことになっています。
@okanatsu ざんねん★
オフィスでのオオヒライオン http://t.co/Lm5HgjqO
年末「拡大」相談会　生活困窮者の相談支援をする団体などでつくる「つながる総合相談ネットワーク東京」は２８日まで、法律や生活、女性、労働に関する無料電話相談（電話０１２０・１５・２７５６）を１０～１９時に開設している。希望新聞： http://t.co/wSLKfZXC
@dck_k 褌じゃ無くて良いのね笑
@sayorin811 おはよん☆
ブラック企業がブラックなのは、無知が大きな原因。経営者の無知、就労者の無知。無知に付け入る無知。もちっと教育がキチンとしていれば、ブラック企業はもっと少なかっただろうにね。
@okanatsu 今日、横浜だったらビンゴですね笑
@keikokeiko55 確かにそちらのほうが愛があって良いね。
@hiromki93 え？w
どんなおっちょこちょいキャラですか笑 RT @shintakezawa @kiwipon 大平さんだったら、寒い冬の日に冷房かけてても、あまり不思議ではない、、、
@shintakezawa 冷房って話ですか？それはないです（笑）
５時前から起きて作業していたけどこの時間になると寒すぎる。
@eriko_k_46 渋いｗ
@teim1978 振り向かなーいことーさ♪
@okanatsu と、突然！？さっき、その隣に行って来ました。。。（笑）
@takezogumi http://t.co/Y9TANjlF 映画製作の際、監督からバンダイの村上克司へ『宇宙刑事ギャバン』からのデザイン引用の許諾を求める手紙が送られ、村上が快諾していた[5]。
@takezogumi
雲になりたい。
@chibicoo ご対応、ありがとうございました！
@TSUCHIZOO かくいう、私も未体験。
@takezogumi ほぼ一緒でしたよねw
@nomumu705 大ファンというほどではないですがー！
懐かしいもの発見！>>YouTubeで「宇宙刑事ギャバソ」を見る http://t.co/0ROTOIGr
@TSUCHIZOO ツウが言うに、一番美味しいらしい。
@poipoi1108 乙女っぽいでしょ♪
蒙古タンメンに行きたいけど通過で。。。 (@ 亀戸駅 (Kameido Sta.)) http://t.co/X9fN7tQW
@nexus7proto ♪
@kunihiko_007 うん。
上からまりこを聴きながら、まりこさまカレー。 http://t.co/Z0mabykm
@poipoi1108 げんきやでー。RTありがとう。
@Jarinko_Toyopi おかえりん。元気になりました？
@poipoi1108 アリガト
@poipoi1108 なんでっかー？
明日も相談を受け付けます。>>【おしらせ】12/26（月）27（火）年末「拡大」相談会のお知らせ http://t.co/NGJxEdvF
メモ>>社会保険料の徴収拡大で非正社員はますます貧しくなる http://t.co/a1Ats0E3
これはやめてええええ！>>サッカー日本代表の新ユニフォームがダサすぎると話題に http://t.co/ex3XVLa3
RT @tare_azure 起業すると「労働集約型ビジネス」に飲み込まれるという点に深く肯いた。 >Software is Beautiful：第3回　なぜ日本のソフトウェアが世界で通用しないのか #gihyojp http://t.co/Mtv9wVIC
@JapanEdge あれ、もしかして、超ご近所？
"I'm at AKB48 CAFE&SHOP AKIHABARA (神田花岡町1-1, 千代田区) http://t.co/3cOZ2PIZ"
豆大福を一つ頂きました♪お使いへ行って良かった～☆美味しかった。 http://t.co/wwMoeem1
購買と税制って、本当に密接な関係があるなぁ、とゴロゴロ転がっているアウディを見て思った。
@erieri1110 マジでその辺りの制度は変えないとダメだよねー。
【拡散希望】12/26（月）27（火）に年末「拡大」相談会（法律・生活・労働・女性・震災等の総合相談）開催中。電話・面談とも10-19時。●会場：司法書士会館（四谷駅徒歩5分）●電話相談フリーダイヤル：0120-152756（全国から可） http://t.co/cfOGyZB5
会社の人にもらったバリ土産の痩せ薬を飲んでみる。。。 http://t.co/RC9hYjtk
ここ最近の暴飲暴食で太っているとう。年内は節制しよう。。
RT @gokankazuhiro: 【拡散】実施中です電話０１２０ー１５－２７５６「12月26日から年末相談会-都内各地で軽食・毛布・カイロ等の配布と法律・生活・労働等の総合相談」 http://t.co/rdIzBRta
@yuichidteach 前から気になっていたのですが、そのプロフ写真って誰ですか？？
【メモ】ウェブサービス系で求められる人材の共通点・最低限のコミュ力・最低限の技術力・発想力・アイデア力・それを支える高い情報収集能力
@nilcanivarolli I'm not chinese. lol
@hattorigoroh ｗｗ
@kanaske_ お大事に～
幸福度トップ福井、東京38位　最下位大阪　法政大試算　　：日本経済新聞 http://t.co/Puwyxrko
"I'm at ニューピア竹芝ノースタワー (海岸1-11-1, 港区) http://t.co/ifi5szy8"
今年もあと3日！
@HirorinBeluga ひろりん、ありがとう♪
家に帰ろか。電池切れてたし、ちかれた。
ベクトルが微妙なずれている人との接点の探りかたが難しすぎる。
"興味深い>>「Xmasデートは恥だと思え!」「クリスマス商業主義に踊らされるな!」…カップルだらけの渋谷で""非モテ""がデモ http://t.co/0Gl0wi3H"
@Kanaske_ 実物はアレだけどね(苦笑)
去年撮った写真みつけた。 http://t.co/JAFOeTSn
@atorieROKO お触りオッケーよん笑
@atorieROKO 本人だよ笑
"I'm at IKEA 船橋 (浜町2-3-30, 船橋市) w/ 7 others http://t.co/T0uiLlxB"
そう、凹んでは居られない！
@dck_k ほう。おぼえときま！
@shintakezawa ついた所です。
@atorieROKO ふへへ。
"I'm at 水上バス 浜離宮発着場 (浜離宮庭園1-1-1, 中央区) http://t.co/UNqlDRYI"
"I'm at 清洲橋 (Kiyosu-Bashi Bridge) (日本橋中州、清澄1, 清洲橋通り, 中央区、江東区) http://t.co/RaWHYjTP"
"I'm at 浅草水上バス乗り場 TOKYO CRUISE (花川戸1-1-1, 台東区) http://t.co/sAxwseqo"
@suzume_k ふふふ。
"I'm at 雷門 (風雷神門) (Kaminarimon Gate) (浅草1-3-1, 台東区) http://t.co/BO3zhjGE"
"I'm at 都営浅草線 浅草駅 (A18) (駒形1-12-14, 台東区) http://t.co/5VssQW5o"
@okanatsu あ、同じく！
@oolongtea75 懐かしい！実妹が好きでしたその曲w
@mirai_tw メリークリスマッチョ☆
@poipoi1108 実は、吉祥寺ということ以外、場所がわからなかったというオチ。
@infinitySHERRY ゆみちょぴん♪メリークリスマッチョ☆ケンシロウ目指しました。
@udumbara3000 ども笑
メリークリスマッチョ☆(クリスマス限定公開プロフ画像)
@yumemeruotome メリークリスマッチョ☆
@oolongtea75 おっ良い音が。
モーニングコールの依頼が来ていたので、電話。完了。
@poipoi1108 ごめーーんゆりもてもてやからわしいかんでもーとおもって！
@yamanouchi1 メリークリスマッチョ
@poipoi1108 ゆりー！にゃーん。
http://t.co/qk3m86C0
@macallan_0 カンケーないよ！
@sa_ra_ca お！？
@_0nelove_ メリークリスマッチョ☆
@4shiZuca4 ♪
メリークリスマッチョ☆を流行らせたい。
@tsukitarou 月太郎さんwwそう？いちお本人でふ。メリークリスマッチョ☆
この曲好き。#nowplaying ART OF LIFE ♪ X JAPAN http://t.co/ydwcCSzq
@punisuke_house ふへへ。ぷにすけたんメリクリ～☆
@ixiiiii そう言って頂けると光栄です。
@ma_chian @strangeQuom てへっ。
I'm at 大江戸線築地市場駅 http://t.co/FJFAxQAc
"I'm at 麻布十番駅 (Azabu-juban Sta.) (麻布十番4-4-9, 港区) w/ 4 others http://t.co/PKnqMP85"
@Norinooooon のりちゃーん！
@Reika0114 六本木来ればね笑
@masatottori 1030迄は確実です！
りゅばんなう！   おでん美味しそう！ (@ Salon de Ruban) [pic]: http://t.co/rL1yyZWG
@codawarishouten いいね！
I'm at Grail Bar西麻布 (日本) http://t.co/rpwtmuDY
マーボーラーメン♪ (@ 麻布ラーメン 西麻布) [pic]: http://t.co/Fuuj0DZR
@Kanaske_ 若い！
"I'm at 六本木ヒルズ メトロハット (六本木6-4-1, 港区) http://t.co/OLLUR8QO"
メリークリスマッチョ！RT @kunihiko_007 @kiwipon お！X'mas仕様のアイコン！！
@sa_ra_ca ざんねんー
@kafuka2010 ふふふ、狙ってます☆
ORICON STYLE ニュース - レディー・ガガ、紅白出演正式決定 http://t.co/RT4SZYwe
辻希美が杉浦太陽と別居と報道 事務所「ケンカするが離婚話ない」 (1/2) : J-CASTニュース http://t.co/HjQs35HW
@lovehidetaiji X好きにしては若すぎる！良いですねー！
@hahho_haho 教えて、おじいさん。。。
@melitty 大所帯！
@dck_k @shintakezawa いみわからん(笑)
@keikokeiko55 軽く飲もうよん☆
@rena1218 うわー、残念！
@sa_ra_ca 一杯おごるから、軽く来ない？ディズニーのお話きかせて！
@naonaokekeke がんばっ！
@shintakezawa ざんねん！
今日は六本木＆西麻布に飲みに行く予定だけど、誰かご一緒する人居るかなー？
@momoko1001 あそびにいこう！
メモ：ほんの少しの優しさが却って人を傷つけることもある。
@teim1978 六本木に飲みに行きましょうか（笑）
@Kanaske_ ふふ、かなすけ＾＾
@to0816 そのアイコン良いですねｗ
愛ゆえに人は苦しまねばならぬ！！愛ゆえに人は悲しまねばならぬ！！愛ゆえに・・・こんなに苦しいのならば悲しいのならば愛などいらぬ～聖帝サウザー南斗六聖拳「将星」～
シングルベルにサンタさんがくれたもの：「自分の弱さと向き合う勇気」
「クリスマス　一人孤独を　噛み締める」
@kanaske_ ｗｗ
@sa_ra_ca まぁ、このまま引きこもってるかもしれんですけど（笑）
@sa_ra_ca いい年して。。。良いのかね！？夜になったら、六本木辺りに飲みに行こうと思います（笑）
@infinitysherry ドモｗ今日は予定がなく、家でゴロゴロしていますｗ
@sa_ra_ca ふふふ、今日は暇なので家でゴロゴロｗ
反省と自戒を込めて。RT @yuichidteach: @kiwipon 的を射ている
坂の上の雲観たいなぁ
Check this video out -- X Japan The last song http://t.co/IWgql3qe @youtubeさんから
他人に対して子供だなーとか思ったり、言ったりする事は、未熟な証拠。
うーん、不思議な段取りだったなぁ。
@4shiZuca4 焼き牛丼。にどと行かないw
@perfume__love ぴよさまとにゃむにゃむするよろし。
@hayakana w
@yuichidteach w
@perfume__love ふふ。
@poipoi1108 ん？
"I'm at 東京チカラめし 南行徳店 (相之川 4-17-2, B棟, 市川市) http://t.co/EqqSORo3"
にゃむにゃむ
盲と聾の違いが勉強に。あと、狭間で苦しんでいる人の話。
潰れ昆布と呼んで下さい。
@poipoi1108 おは！
@poipoi1108 いろんな人に送りまくってて笑えるー。
http://t.co/jBQsgjYA
これはおもろい！
@poipoi1108 ふふ。千葉ー！
@poipoi1108 市川！
@sa_ra_ca うーん、お話きかせて！
美味しそう！ http://t.co/kjxbceaE
@kitty3luv いや、わかんないからさー。
ディズニーで働く！？
手話わかる知り合い居たかなー。
きういぽん発見！ http://t.co/SCpFw4Xm
クリスマスツリー！ http://t.co/4rNIfID9
"I'm at サンクス 南行徳駅前店 (相ノ川4-5-2, 市川市) http://t.co/i2OfB2hZ"
たけだっちどこ。。。
@kunihiko_007 寝てました笑
@masatottori ＤＭ返したと思ったのですが、フォローしていただいていなかったので送れていませんでした。失礼しました。
こわっ！>水道水に脳みそを食べるアメーバ…米国ルイジアナ州で2名死亡 http://t.co/SfpbPurr
ぴょんぴょこ。
NERUか。
@poipoi1108 何がｗ
@reika0114 ドモドモ。
@poipoi1108 あれま、かわいそうに。
@poipoi1108 いつもどおりね（笑）
@kanaske_ 通訳してたら頭冴えてきたｗ
@sa_ra_ca そうかな(笑)
きた！＞＞名古屋の５％市民減税、条例成立　12年度から実施　　：日本経済新聞 http://t.co/sneYDzIK
@junitabashi お疲れ様です♪
@poipoi1108 んー？
@Reika0114 まーね(笑)
@Munekatamirai あ、鼻の在住者？私はベロです。笑
あ、今上天皇陛下、お誕生日おめでとうございます！
飲み足りないけど、家帰って仕事しよう。
@poipoi1108 gracias!
@Gsamakyabe ハーゲンお食べ☆
@poipoi1108 yeah! What's wrong?
ヒトカラ行こうかなー。
ねっむ。。。
"I'm at 恵比寿駅 (Ebisu Sta.) (恵比寿南1-5-5, 渋谷区) w/ 9 others http://t.co/UK7rF96W"
@poipoi1108 寝袋とか！(笑)
@poipoi1108 寝袋とか！(笑)
@haru_matsuo 飲みに行こうか！！
@poipoi1108 いいね！
@Gsamakyabe @perfume__love @msx44 ほぺたん、お疲れ。。。
@poipoi1108 忙しいんとちゃうのん？
もふーん。三連休が始まる。。あんまり予定入ってない。。。♪
@chibicoo すごっ！
"I'm at 琉球酒場 がちまやぁー (恵比寿西 1-13-3, ROOB6 2F, 渋谷区) http://t.co/eybCcvY6"
"I'm at 恵比寿駅 (Ebisu Sta.) (恵比寿南1-5-5, 渋谷区) w/ 11 others http://t.co/nlmHa6TL"
@kunihiko_007 おお！お会いできなくて残念でした！
これ、おもしろいサービスかも、株主とか見ているとかなりおもしろい。＞＞企業価値検索サービス　Ullet（ユーレット） http://t.co/GYBNuNP7
これ食べてみたい！＞＞松島屋 まつしまや - 泉岳寺/和菓子 [食べログ] http://t.co/s8lFmo7X @tabelogさんから
@Gsamakyabe gs マスクドベコにはやられたぜー。反則プレイだぜー。RT @perfume__love: @Gsamakyabe なんか好き勝いってるよｗ@msx44: @perfume__love 覆面ベコタソ……マスク・ド・ベコ！
おお、凄い！オタクイズビューティフル>>Maid Cafe en México – メキシコのメイド喫茶 http://t.co/W0Bg640t
クリスマスセール中でした！ (@ オリエンタル・プレシャス Oriental Precious) [pic]: http://t.co/YqsCBMpp
"I'm at 外苑前駅 (Gaiemmae Sta.) (G03) (北青山2-7-16, 港区) w/ 2 others http://t.co/Ilg8ZUpA"
@perfume__love しつれいしゃしたっ！
@reika0114 君もカー
やばい。眠すぎ。こんびにいく。
ソーシャルの人気サービスが大企業から出てこない理由　　：日本経済新聞 http://t.co/YILjCoVH
"I'm at ニューピア竹芝ノースタワー (海岸1-11-1, 港区) http://t.co/KGkPP9rI"
"I'm at 浜松町駅 (Hamamatsuchō Sta.) (海岸1-3-1, 港区) w/ 6 others http://t.co/fCCKbE0A"
@poipoi1108 おふ！
@dck_k 未定！
@sora1umi2ribon3 北！オークランド！
まさおー！>>痛いニュース(ﾉ∀`) : 金正男がマカオの自宅から消え平壌へ向かった模様　自宅の外壁には指導者を意味する「太陽」のマーク http://t.co/zwRsmMrb
@miki0x0 ながいーっ！
かわいそうに。、、>>夕張市のゆるキャラ「メロン熊」が保育園を訪問、園児が号泣 http://t.co/Hi3YFIKt
I'm at 新宿駅 (Shinjuku Sta.) w/ @rocotama http://t.co/bT1n5Xze
I'm at じぇびあん (春日一丁目16) http://t.co/tWAcpQEE
"I'm at 講道館 (The Kodokan Judo Institute) (春日1-16-30, 文京区) http://t.co/J2IIDP4M"
大切なのは万物への感謝であります。
"I'm at ナチュラルローソン 東大赤門前店 (本郷5-26-2, 東大赤門前ビル 1階, 文京区) http://t.co/tAehFhll"
@kurukururose 逆にそうなるよねー！
宿輪ゼミなう！
"I'm at 文京区民センター (本郷4-15-14, 文京区) http://t.co/rnPL8IRh"
@necutal ありがとうございます！
やばい、これはウンザリだ。。。
これは酷い。。、>>秋葉原の「ごはん処あだち」がヤバいと話題に ご飯「普通」盛りで一升 http://t.co/ABb6T5hJ
"I'm at 肉屋 (三崎町1-5-1, 千代田区) [pic]: http://t.co/vqFnQTDa"
@anti_concept ええっ！？
@hana_aries がんがー
@NAOnaoATSUIYOOO 知らないなぁ
コスパ的に一番良さそうですもんね。私もそれに目をつけてました。次のタイミング迄待つか迷い中！ RT @dck_k: ASUSのZENBOOKが気になるね。Macbook airのパクリだけど。 RT @kiwipon Ultrabook 欲しいな～。
"I'm at ポケモンセンター トウキョー (Pokemon Center Tokyo) (海岸1-2-3, 汐留芝離宮ビルディング 2F, 港区) w/ 2 others http://t.co/5k8s1Gki"
@luv_and えっ！？
Ultrabook 欲しいな～。
RT @gokankazuhiro: 【営業】お呼びいただければ僅かな交通費でどこにでも参じます。劇団大根一同。なお，シナリオは様々なバージョンがございます。 http://t.co/rBk99hFn
（´-｀）｡o0（仲良くなれたと思ったのにね・・・）
@perfume__love @Gsamakyabe ほっぺと目、関係ないじゃんーｗ
@teizuisun カッコイイなーｗ
@erina1121 あるあるｗ
@Kevinbando 言ってたけど、現状でアレ使うの無理でしょう（笑）
@miki0x0 なにそれ（笑）　そして、どれだけ長い時間風呂に。。。
@hayakana クリスマスは一人で過ごすためにあるのです（キリッ
@perfume__love @Gsamakyabe 俺のほっぺたを救ってくれ＞＜代わりにおっぱいをあげよう。
@hayakana ｗｗ　満員電車に乗ってみるとか←
これかぁ、可愛いですね！ http://t.co/hT6of6gB RT @chibicoo: @kiwipon youtubeとかで見ると猫がルンバにのった動画がいっぱいありますよー
この国には、まさおの癒しが必要。。。>>痛いニュース(ﾉ∀`) : 北朝鮮、金正恩氏の反対勢力を粛清　数百人が処刑・収容される http://t.co/edXcRYXw
"I'm at ニューピア竹芝ノースタワー (海岸1-11-1, 港区) http://t.co/9RyRznat"
@erisaitocom あれ、おかえりなさいませ。
まぁ、なんだかんだで3時台には起きて仕事とか勉強とかしていました。
@miki0x0 みきてぃーも早いじゃん！
@kyuri02 へｗ
@chibicoo 意外な。
@gsamakyabe ナンバーワンほっぺです！ねんねんころりんー
@Gsamakyabe 天使のほっぺー＞＜　じゃぁ頭なでなで。
@gsamakyabe うん、起きた（笑）可哀想に。。なでなでしてあげたい。。。（主にほっぺを）
@chibicoo 猫とじゃれさせるんですか！？
加護ちゃん、結婚してた！おなかには赤ちゃんも！ブログで電撃発表 - シネマトゥデイ http://t.co/EPtQQImI @cinematodayさんから
@asoutomtom お待ちしております。
@Gsamakyabe ありゃかわいそうに。、、
これが必要ですねw  http://t.co/2JZdxIpL  RT @sora1umi2ribon3: @kiwipon 歩きながら寝る姿を見てみたいε=(>ε<*)
歩きながら寝そうなぐらい眠たい。
@judo_kigyouka わかりません。。
@ahh_lucky 覚えときます♪
@teizuisun きらいかい？
@penipenisan ふふふ。
@sa_ra_ca ですね笑
こんど頼んでみますー！ RT @ahh_lucky: @openarms1986 @kiwipon 大平さんじゃないけど、オススメのカクテル「ベッド イン ザ シーツ」美味しかったけど、自分で注文するには勇気が要ります。(笑)　自分で頼む時は同行者により強さを考えないと
ネギマッチョってなんやねん。。。
ねぎだくとか、そんなもんじゃねぇ！恐ろしいものを見たぜ。。。 http://t.co/PSybNrVo
美味しいと聞きまして。 (@ 末廣ラーメン本舗 高田馬場店) http://t.co/xvNpX6CN
RT @hashimotou おもしろいなぁー“緩やかな貨幣と社会との乖離”：【BI→BN】世界経済を救う方法を思いついた【エル・プサイ】:哲学ニュースnwk http://t.co/vM0b3ULF @nwknewsさんから
なくなってるやん笑
"I'm at 10° Bar (高田3-10-18, 東ビル1F, 豊島区) http://t.co/xN2SPjsM"
"I'm at 高田馬場駅 (Takadanobaba Sta.) (高田馬場1-35-2, 新宿区) http://t.co/OlXrFRk9"
おわたー。ラーメン食べに行けるかなぁ？
@Kevinbando 使ってません笑
そっす。RT @uedareiko あ、桜子さんとこですね？！RT @kiwipon: 日本政策学校 のじゅきょー。 (@ 日本経済大学) http://t.co/u9HbK7Eq
@asoutomtom うん。学生。誰？誰？
日本政策学校 のじゅきょー。 (@ 日本経済大学) http://t.co/u9HbK7Eq
だーめーだーーータスクこなせねぇｗｗ詰まったｗｗ　自社作業は今日は放棄する。。。明日朝早起きしてやる。。か。。夜は学校。
ドリアンの飴とかやめてー＞＜。美味しいとか言って勧めるのやめてー＞＜。
@teizuisun だよねん♪
@teizuisun いいね！
［ビンゴー］クローズドβテストに事前登録しました。【あと9248アカウント】 　Amazon Kindle Fire / iTunes Card プレゼントキャンペーンに応募しています http://t.co/ZjJWTSDC #vingow
@poipoi1108 ゴチになりやす！
また苦行チックなことをやりたいなとかは結構思っています（笑）
ちなみに、年末年始は東京残留の予定です。自転車買って、房総半島一周するとか、伊勢神宮まで行ってみるとか、徒歩で箱根かどこか行くとか、考えてはいますが、未定。
@luv_and あは。
@England_ そのうち眠たくなります。ので、昼寝をします。
@kurukururose 太るための努力！？あ、ちなみに、一人カラオケによく行くワタクシです。
@ettanmarch おお、ありがとうございます。これからやりまするー。
元外務省北朝鮮担当！ RT @iisia: 日本の皆さんにご覧いただきたい：「北朝鮮は大きなファンド・マネージャーのような国」……「なぜこのタイミングなのか」……「…【北朝鮮・全正日総書記の死去について考える（無料動画）】　http://t.co/GJBL5zsJ
@poipoi1108 美味しそう。。。
@y_bye2blackbird 暇じゃないねー。
この状況に陥りました。。。午前中にバックアップを取って、午後に全リセの作業を行います。＞＞au版iPhoneがデータ通信不能に！ 「データ通信機能を起動できませんでした」 http://t.co/YCGMwo8s @getnewsfeedさんから
@msx44 さすがだぜ！借りたいぜ！
@y_bye2blackbird お疲れ様でした。
@kanaske_ ありがとう～♡
ハンドクリーム常務（笑） RT @denkiiruka: @kiwipon 一瞬、ハンドクリーム会社に常務しておこうかなぁに見えて、スケール違っと思っちゃいましたｗ
乾燥の季節になって来ました。ハンドクリーム会社に常備しておこうかなぁ。。。
@ahh_lucky コンビニにも売ってるよねー♪
@kunihiko_007 疲れますよ笑
@ahh_lucky 指先の空いている手袋使ってるよー
！！RT @sobata2005 宮崎あおい、離婚秒読み…高岡は改名を発表 - ＳＡＮＳＰＯ．ＣＯＭ http://t.co/jBSeORHq @sanspocomさんから
表面上仲良くしてても、水面下で抗争中って。。。やだねー、オトナは。。。笑
"I'm at ニューピア竹芝ノースタワー (海岸1-11-1, 港区) http://t.co/kePXVrTW"
@asoutomtom ですね。出鼻を挫かれました笑
"ま、そりゃそうだなぁ。>>Barbarity Is Not A ""Cultural Difference"". http://t.co/VPpp2UaI"
@nomumu705 付け替えましょうか？長いよ笑
@Haruka_Mineyama ありがとうございます♪
今日は一時間早く出社するぞ！と気合いいっぱいで駅まで行って気づいたこと : Suica忘れた。
ゆひがちべたい。。スマホの操作が大変w 今日は朝三時半起床でした(笑)
@rie_rjv 寝てた。またネル。ってアイコン変わってる。。。
@Rie_rjv ん？
瞼が重くなってきた。。。
凄いですね！RT @junitabashi: 癌！癌！ロックンロール http://t.co/eyJKNIUT.…
@poipoi1108 えーこっちゃー
@tohatt 返り討ちにあうで。
@poipoi1108 たこやきちゃうんかー！
@tohatt そうそう、それそれ。
@tohatt あ、あるわ。もんじゃ焼きセット。
@tohatt もんじゃ焼きの粉はないよ。たこ焼き粉やお好み焼き粉はある。
@poipoi1108 そんなバナナー
@tohatt 三号（笑）自分で焼くよー
@tohatt もんじゃ焼きも好きだよ。キャベツ多いし（笑）
@snowpoudre ♪
@poipoi1108 えーっ、あたい！？
寄りによって皇帝！RT @okanatsu: これbotじゃないの？タイミングよすぎ(;^_^A RT @gin_ei_den: 「心臓疾患だと…自然死か。あの男にはもったいない」 ラインハルト
@kanaske_ かなすけは俺が守る！
@kanaske_ えーっ、。結婚してくれないの！？（笑）
@poipoi1108 べろべろペロペロ。
@kanaske_ えーっ、そうかなぁ。。。結婚させてくださいよ（笑）
@reika0114 んじゃ今から行く？都内出ようか。（今浦安だけどｗ）
@okanatsu 遅くまでお疲れ様。
@kanaske_ なんか錯綜してるｗｗ
@kanaske_ まだ、タネが残ってたので・・・\
@junitabashi じゅんさんこそ忙しそうですが！30日、承知しました～！
@kanaske_ え、だめ？（笑）
@reika0114 ラーメンいいね！明日明後日ぐらいに一緒に食べに行こうか？
@Reika0114 なに麺食べるの？（イケメンは却下ｗ）
@Reika0114 ありがとう。仕事おつかれ～
@reika0114 なんそれ（笑）
@hayakana かなちゃんともたべたいねー！
@dck_k どもありがとー！
@dck_k いれた!間違ったこんにゃくだったのか、イマイチでした。ごま油＋塩は絶品でした！
今日は忘れずに天かすを投入！
マジだすか。。。RT @ako0212 え、そうなの！？ RT @ohsada: 35歳すぎて結婚できる男は3％ http://t.co/T1N86Uny
@kakkou0412 その時期なら、花粉症避難にも良いですよ笑
@Reika0114 @kakkou0412 リアルで会うことのない、Twitter限定のヴァーチャルケコーンですかね？笑
@kakkou0412 時期や好みにも寄ると思うけど、NZは真面目にオススメ。なにせ、JTB社員の父親が行ったぐらいだから苦笑
@M_cGuffin そうです！
#nowplaying E.I. ♪ Nelly http://t.co/hA6myi5S in iPod app via @twitbird
@kakkou0412 @Reika0114 ここで第三勢力の北野さんの参戦wちなみに、レイとは会ったことないし、多分、どんなに私が望んでも会えないと思います(苦笑)まぁ、コトバ遊びっすねー。(良いように遊ばれてるワタクシw)
@karenchan9 生えるよ。
IT系ってもしかして、人材が枯渇しているんじゃないかな。特に新興の大手ベンチャーですら、中途採用を縮小して、新卒を沢山とって育成するって方針だし。。。
@yuuu_jp どうして笑
凄いなぁ。RT:サウジアラビア王子がTwitterに3億ドルを投資 http://t.co/QCgcK5mR @jptechcrunchさんから
