text
そろそろ向き合わねばならんな、唐揚げを味噌汁に浸して喰う俺氏と。
【悲報】俺氏「なぜヒトは抗えきれないのだろうか」。 https://pic.twitter.com/gDILID4g9c
【悲報】俺氏、ざるそば用めんつゆがないなら、塩コショウで食べればいいじゃない。
【悲報】俺氏、時差の関係で、あけおめツイートを躊躇う。
【悲報】俺氏、LINEスタンプ連打でまた一人友達を失う。今回、マジだから困る。
クリスマスで僕のソウルジェムはだいぶ濁ってしまったよ……。
クリスマス目前俺氏「【悲報】俺氏、クリスマスなのに彼女なしｗｗｗ」ﾂｲｰﾄﾂｲｯﾀﾗｰ「自己満足さんのためにRTだ!!!」ﾋﾟｯなんと数千にも及ぶリツイートとファボ。そんなところに、美女「じ、実は、自己満足さんのことが前から好きでした」はよ
【悲報】俺氏、あるプレゼンをヒントに、iPhoneアプリで死ぬまでにあと何日あるかを計算してやる気を出そうとするも、見た後に怖くなり夜寝付けなくなり睡眠時間が減っていくなう……。
@orutoari １００年アプリがわかりませんだわ。死ぬまでの時間を年齢や体重などから計算して大まかに推測してくれるアプリがあるの。
@orutoari 初見の際はそう思ったけど、なんかのプレゼンで成功者が死ぬまでの日数を計算して絶望してから生活が効率化したみたいな話があって、僕は今気分でそれにトライしてみた。もし興味が沸いたら無料でできるのでググればいいよ。
【悲報】俺氏、曜日に衛星の名前を使うのを中二病臭く思ってきた。
――全俺が震撼した……。「遅かったな、自己満足の成れの果て」「やはりお前か、利他主義の成れの果て」――運命の２人が今、「わたしがぁあ、」「俺こそぉ、」――再び激突！！「「リア充だぁあああ！！！！」」劇場版「ナレノハテ３〜その果てに〜」NOW PLAYING
【悲報】俺氏、LINE有料スタンプを駆使し、格の違いを魅せつけるも、既読無視される。
【悲報】俺氏、夢の中で自己満足の成れの果てから本名にアカウント名を変えたら、直後なぜか炎上した。
毎年クリスマスに精神的ダメージ喰らってちゃダメだわ。今年は朝から晩まで瞑想にチャレンジするぞ。　#初めて前向きなクリスマス
【悲報】俺氏、好きな言葉が「雨天中止」
【悲報】俺氏、コンフレークにハチミツを垂らして食べてたらハエが不時着。
ニュートンがリンゴが木から落ちるのを疑問に思い研究し万有引力の法則を発見したように、僕はハエが口に入ってくるのを疑問に思い調べたら、冷蔵庫の後ろによくわからない生ゴミを発見したよ。
そろそろ自己満足の成れの果ても解散するかなー。自己満足ノミクス解散。 #時事ネタ
【悲報】俺氏、今までにない芸風にチャレンジし、、、スベる。 https://pic.twitter.com/3ZO18ueKxc
【悲報】俺氏、外人に日本語でなんか書いてって言われて、なんとなく「優柔不断」と書く。
【悲報】俺氏「たまに下ネタ言ったりするとモテるって言ったやつ出てこい(ToT)ﾉ」
本日、アメリカはサンクスギビング（感謝祭）という祝日です。ご馳走を食べたり、明日のブラックフライデー（特売の日）の情報をチェックしたり、ワイワイガヤガヤしています、みんなは、ね。
@ogumap__ お財布という名のドクターからストップがかかっておりまする。。。
【悲報】俺氏、「トイレ行ってくる」と誰も求めてないのに無駄に告げる。
【悲報】俺氏、チョベリバ。
Eメールアドレス→メールアドレス→メルアドorアドレス→アド→ア＿人人人人人人人＿ ＞　　　ア　　　＜ ￣Y^Y^Y^Y^Y^Y￣
【吉報】俺氏、春が来たかも。さっき弁当屋さんで、待ち時間に少し談笑した店員のお姉さんに卵をおまけしてもらった。今度は貴女をおまけしてもらいます(^_^)ﾉ……【悲報】俺氏、それから十分後、自慢メールをし、友人からの返事で、弁当1つごとに卵がつくキャンペーンをやってると知る。
【悲報】俺氏、悲しいことだらけなので、iPhoneのユーザー辞書に「【悲報】」を単語登録。これでツイート捗る。
【悲報】俺氏、新ジャンル「音速既読無視」に合う。そこで怯まずに追撃！#日米時差の成れの果て#スタンプ連打#友情は始まる前に終わる
【悲報】俺氏「サンタさん、今年こそ二重まぶたをください」
@weather1426 数秒だけなら目に力入れて二重まぶた作れるねん。だから整形までしていらんねん。
鼻呼吸できないけど質問ある？
@Holy_Abyss ベロ突き刺してガムテープに穴あける。
@Holy_Abyss 不可能を可能にしてこそ自己満足の成れの果てですよ。やってのけましょう。ついでに犯人も舌だけてやっつけてやりますよ。
そうか。僕はモテ過ぎてモテないんだ！（解説：女「キャー、あの人かっこいい！絶対もう彼女いるわ。告白するだけ無駄か……しょぼーん」）
@Ni25G_n 有料会員費500円を節約してまする……。あと、単純に時間がない。今、深夜２時とかなんだけど、課題ややるべきことが終わってなくて起きてる。土日明けで徹夜。しんどいアピールU´ㅈ｀U
@Ni25G_n サンクス。またやるから、そんときよろしくね。話題力増して帰ってくるだわ。
【悲報】俺氏、アメリカのスーパーにて全力で「やわらかい土」で遊び、通りがかる子供から変な目で見られる。 https://pic.twitter.com/FT665PTs3a
【悲報】俺氏、恐いことに気付く。小学生の頃、話すかどうかの基準で大事だったのはゲームや漫画の話ができるかどうかだった。次に高校、彼氏がいるかどうか。今は二十代、結婚してるかどうか。そのうち生きてるかどうかになるんだろうな。
僕のつぶやきが増加しているのは僕がうまくいってないとき。ブルースが悲しみから生まれるように、ツイートも何かしらの闇から生まれるのだろう。
【悲報】俺氏、転校生してみたかったけど、もう一生なれないことに気づく。
ひとたびメッセージを送れば、そこには必ず既読の文字が舞う。例えどんなに盛り上がっているグルチャがあろうとも、指先が世界を凍らせる。誰も寄せ付けないその姿から、いつしか俺はこう呼ばれるようになった。「絶対既読無視（エターナルサイレント）」。
@KSMN_kitayan そうそう。「ごめんなさい」しても許してもらえない絶望的なお話。
エー、ビー、シー、ディー、イー、エフ、ジー、エイチ、アイ、ジェイ、ケー、エル、んー、んー、…（何事もなかったかのように）オー、ピー……。
もしLINE既読無視税が導入されたらきっとたくさんメッセ返ってくるなーとか想像したけど、現実は既読すらされなくなるだけなんだろうな……。
【悲報】俺氏、イメージチェンジを試みるが、友達の中に俺のイメージがそもそもなかった…。
【悲報】俺氏、映画を観た後、感動しすぎて自分の人生の平凡さを嘆く。
【悲報】俺氏、お姫様抱っこをする機会を想像し、筋力アップの必要を感じ、腕立て伏せを急遽やり始める。なお、連続２０回の壁を越えられなかった模様。
僕が「【悲報】俺氏、友達が〜」みたいなこと言ってる時はだいたい嘘だよ。
@yosshi2chari ふむふむ、そうか。こう、手首のスナップを効かせて（ぇ
【悲報】俺氏、同じ紅茶のティーパックを何度も使い、とうとうヒモ切れる。
@eneloopy_myu １パック＝１日分ってことにしてる。今日は朝早く起きて夜遅くまで起きてる日だったので、１０杯くらい飲んだかな。
@nyeuru 今うすいさんググった。おじゃる丸はさすがにわからなんだｗ
@eneloopy_myu ４杯目くらいでもう色とか味とかわからんよ。白湯を飲むと健康ににいいとNeverまとめで見て、お湯飲むようになった。目的がお湯だから気にせず飲んでる。何か栄養入ってたら嬉しいな程度で朝入れた紅茶のティーパック１日使い続けてる感じ。
【悲報】俺氏、スマホバッテリー切れで、思い付いた渾身のギャグをその場でつぶやけず忘れる。
【悲報】俺氏、LINEにて武井壮スタンプをゲットし嬉しさのあまり友達に連打。ひたすら「どーん」。友達イージーです。 https://pic.twitter.com/APDCc0MhWD
【吉報】俺氏、３週間ぶりにLINEの返信を受け取る。しかし、まだ１５人くらいに返してもらえていない模様。
@Magupend 「友達が実は友達じゃなかった。」ただそれだけのことさ…。
今朝、LINEメッセージの着信で目覚めた。「何かがおかしいの！あなた感じる？時空の歪みを」。サマータイムを知らないタイの女の子でした。 #神の仕業 #留学生あるある
【悲報】元ルームメイトがコードギアスにハマり、俺氏、イレブンと呼ばれるようになる。
【悲報】類は友を呼び、その友は敵を呼んだ…。
【悲報】俺氏、そういえば昨日友達から「ツイッターでよく見るけど暇なの？」ってメッセが来た。「違う！暇じゃないからツイッターでボヤいてんの！」と返信すると、「返信早っｗやっぱ暇じゃんｗｗ」と言われた。なんか悔しい。
【悲報】俺氏、動くLINEスタンプを放たれ悔しい。俺も動くの使いたい。
【悲報】俺氏、夢の中で外国人に「アー・ユー・ア・ナレノハテ・オブ・ザ・ジコマンゾク？」と話しかけられる。
ふと終わりの会（学校によっては帰りの会）という断罪の時間を思い出した。今思うとあれはなんか恐いよね。
【悲報】俺氏、鉄棒で逆上がりできるだけで輝いていたあの頃に戻りたい。
【悲報】俺氏、ミクシィの足跡機能でギャーギャー騒いでたあの頃に戻りたい…。
【悲報】俺氏、性格がゴミ化。思えば遠足のおやつの300円ルールを軽んじてたあの頃からもうダメだったのかもな…。
【悲報】俺氏、集合写真で自分の立ち位置が常に後ろの端っこであることに気付き、絶望。
@siruba1704 なかまー。人生はあなたが主役ってフレーズがあるけど、そうじゃない気がして辛いよね、なんか。
@siruba1704 ないのは自尊心とか自己肯定感ってやつだよ、たぶん。お互い頑張ってなんとかしよう。
【悲報】俺氏、土足文化の国で華麗に犬の糞を踏む。
@ponponkinds オッケー。くそぉー、なんて絶望的な臭いの土なんだ！
@ponponkinds あんな、やっばな、わかっとったけどな、無理やねん（白目）。
@ponponkinds うん、そうする。ウンだけに。って、いらんてそんなギャグｗｗｗ((((( ；ﾟДﾟ)))))
【悲報】俺氏、送る相手いないのにどんどんLINEの有料スタンプが増えていく。
@eneloopy_myu ねー。僕は硬派を演じ過ぎていて、使うと相手が「まさかあの硬派な自己満足の成れの果てさんがこんなハイカラな物をお使いになるなんて！？」ってなると思ってて使えない。
【悲報】俺氏、Touch IDとかいうiPhoneの指紋認証技術によりアプリ購入が捗り過ぎる。完全にAppleの罠にハマってる感がするぞ((((( ；ﾟДﾟ)))))
【速報】俺氏、ポンデライオンの仲間にアイスデライオンを発見。興奮のあまり今日提出のレポートを放ったらかして調べ始める。
@FRONTALICE31337 羨ましい◯(･ω･)◯
【悲報】俺氏、他人のプレゼンが終わった直後、いきなりクラスの女の子から「自己満足の成れの果てくんが付け足したいことがあるんだってさー」っていう謎の振りを喰らう。イジメヨクナイヨ。
今日はハロウィンですね。今年も僕は人間のコスプレなう。
【悲報】クラスメイト消失！？俺氏、移動教室の場所知らず。
【吉報】俺氏、元ルームメイトをスマブラでボコボコにする。彼が悔し紛れに放った一言は「100%超えてるんやから飛べよ。このゲームバグってるわ」。※仕様です。
【悲報】小さいハエがたくさん舞う我が家に「麺つゆトラップが効果抜群」との朗報があったが、留学生、麺つゆが手に入らないお(´･ω･｀)どーするー
@kameneko55 日本人留学生inアメリカだったりするよｗＵ´ㅈ｀Ｕ
@kameneko55 悩んだ末、掃除機で吸ってるなうＵ´ㅈ｀Ｕ
@kameneko55 サンクスＵ´ㅈ｀Ｕ
【悲報？】俺氏、アメリカに居てもユニクロで服を買う。
【悲報】俺氏、日本人ってだけで外国人と忍者トーク。「忍者ってどれくらいいるの？」「かなりいるよ。俺もそうだし」「え？マジ？なんかやってよ」「ごめん。日本に道具置いてきたんだ。アメリカだと捕まるだろ？」ってネタ話しようと思ってたら、相手がガチ勢で地歴の苦手な俺氏、質問に困惑。。。
【悲報】友達がマインクラフト（ゲーム）をやってるときに「ねぇ、これ作ったあとどうするの？」と訊いた結果、俺氏、意図せず引退に追い込む。
【悲報】俺氏、友達の誕生日会を我が家で企画するも、雨を理由に欠席連絡が来まくる。そして誰も来なかった…。どうするこの空気…。
@MichealChain 来てるから大惨事なのだよ…。
【悲報】俺氏、折り畳み傘、折り畳めず。
【速報】俺氏、酔った勢いで外国の女の子二人に電話で告白。そしてまさかのダブルゲッチュ。という夢を見ましたとさ……。
雷が鳴っているときにヘソを隠さないと雷神様にとられるって脳内でビジュアル化したらすげぇ恐くて今夜眠れそうにない。
【悲報】俺氏、カップル専用アプリをDL。iPhone ６を購入し２アカ作って遊んでいる模様。寂しい……。
彼女ができないことが悩みだった僕だが、とうとう彼女をゲット。しかしそれで悩みが終わると思ったら大間違いだった。次のデートどうするかとか、LINEの既読無視を怒られるとか、どうお金をやりくりするかとか、悩みは増える一方。そんな妄想を繰り広げ、現状に目をやるとなんか少し幸せ。
特別な人間になりたいとまた僕はみんなと同じこと言ってるなう。このままだとこのまんまなんだろな。
曇り時々ポエミーな僕ですが、これからもどうぞよろしくお願いします。
@augment_ation 素敵なコメントありがとうございます。そうですね。特別は普通が伸びた結果ですからね。
【悲報】さっき「アカ教えて〜」「Twitterやってない」というやりとりをした友達のアカウント発見。
ピンチはチャンスとか言われたけどピンチはピンチでしかないよ。他人事だからって適当なこと言うんじゃないよＵ´ㅈ｀Ｕ
昨夜夢の中で武井壮が「ポンデライオン、イージー。。」とか言ってて泣いた。
今回のスマブラはなんとオンラインでプレイできるので、プレイヤー同士のダイレクトアタックを気にせず遊べるぞ！
@stckr_A_nthn 発売おめでとう。お買い上げなうＵ´ㅈ｀Ｕ https://pic.twitter.com/TV1b2SHGVe
Apple Watchなんてどうでもいいから、独りが寂しい僕のためにiFriendかiGirlfriend出してくれよ。
【悲報】俺氏、大学に「お前の席ねぇから」されかける。
【悲報】俺氏、お土産をたくさん買ってかえるも、そんなに友達いなくて先生に配ってまわる。
@wataruhohoho 正しくは、「お前の席あっちだから」って言われて見たら全然違うプログラムの底辺レベルに突っ込まれてたっていう感じ。気付いてなかったら１年待ちをくらってた。ダブルチェックの習慣がついててよかったよ、ほんと。
俺「お前、いつまでも既読無視できる側のつもりでいるなよ。これからは俺のターンだぜ！」既読
【悲報】俺氏、LINEでスタンプを購入してニヤニヤするも送る相手おらず絶望。
【悲報】俺氏、つぶやくネタがない。
@tobe_mesa どうすればいいの？なんか「俺のツイートをパクれ」的なページがあるの？
カラオケで曲の間奏って何して過ごせばいいの？ ＃気まずい
君、僕が本当に実在（い）ると思っているのかい？自己満足の成れの果ては、君の劣等感が作り出した幻さ。僕は君で、君は僕なんだよ。ふふふふ……。【訳：眠い。おやすみなさい……。】
【速報】俺氏、ポンデライオンスタンプを発見しテンションが上がる。なお、その直後、好きな娘にスタンプを連打してしまい、現在平謝り中◯(´°̥̥̥̥̥̥̥̥ω°̥̥̥̥̥̥̥̥｀)◯ https://pic.twitter.com/kqXYeMxu6O
【悲報】俺氏、かっこいい友達に眉毛の切り方を教わるが、整える眉毛がなかった……。
【悲報】俺氏、あの頃に戻りたい。
【速報】俺氏、やっと自分が割れアゴだと気付く。
【悲報】俺氏、来週の同窓会に行くと、「おめでと。ふふふ、また死に近付いたね」という手紙を誕生日に渡してきた女の子と対面することになると気付く。VSトラウマなう。
@accel1128 そうだとすると、2004年とかの話なので、ブームを先取りしてるなｗｗ
@nakhid06 今確認したら、LINEのグルチャにちゃっかりいるよil||li (っω-`｡)il||li
@nakhid06 無言で読んでるだけみたい。でも、ポイントとして、誰かクラスの友達が連絡を取り続けてて、グルチャに入れてあげたという事実。割と普通なのかもしれん、その手紙の話以外は。
@sugitime38min たぶん、ただの漫画の読み過ぎ娘ですｗ
@sugitime38min 当時中学生だった僕は本気で先生に相談すべきか悩んだよ。自立が美徳だと思ってた僕は結局何もしなかったなー。でも今だったなら先生通り越して警察に相談するかもしれんｗ念には念タイプになったからな。
【速報】俺氏、プリキュア。 https://pic.twitter.com/Q7L5jxsT5F
【祝】メール無視700件記念。関係者各位、全力でごめんなさいｗｗｗ https://pic.twitter.com/RleYY2Fk3d
@kuma_dansyaku 健康アプリは必須だよー。iPhoneってほぼそのためにあると思ってるくらい。
どうか僕にツムツムを強要しないでください。
寝坊してパンを咥えて走り出したいと日頃思いつつも、自分の性格で待ち合わせの３時間前に着きました。
【募集】男女混合の同窓会で歌っていいギリギリの曲を教えてください。ギャップ萌えを狙いに行きたいです。 #なぜか攻める #滑ったら次呼ばれない同窓会
デカいスーパーに行くと、魚介類のところに動く系を探しに行ってしまう僕ですが、仲良くしてください。
@stckr_A_nthn 珍しくツイート見てたら「おっぱい」。いいねっかはテクニカル下ネタを使い手だわ。 https://pic.twitter.com/2nQM4vfTqT
受験生の妹と父が行く、学校の三者懇談会にゲスト「幻の第四者（いないと思ってください枠）」で参加してきた。いわゆらないモンスターブラザーの誕生である。
@accel1128 偶然見たのでリプる。二年以上前にはたぶんもうおフォローいただいておりましたでございまする。
@accel1128 基本、僕がつぶやくしかしなくて、たまにそちらからリプいただいていた形だったのだけども、そちらのフォロー数増加とこちらのツイート数減少で今はかなり疎遠ですなー。
【悲報】LINEで俺氏にスタンプを連打するのが流行る。
僕がパペットマペットで食っていこうとしてた時代の何か。 https://pic.twitter.com/WThaN4EVEG
某流派の跡継ぎ問題がニュースになっているので、僕もそろそろ二代目自己満足の成れの果てを決めないとなー。
努力の結果、僕は一時的に二重まぶたを手に入れた( ´ー｀)ﾉててーん
中古買取サービスに売りに行って買取額に絶望する現象にそろそろ名前を付けるべきではないかね？
留学先の友達から「元気か？夏休みどうよ？俺は順調で、最近ピストル買ったぜ（写真添付）」的なメールが来たんだが、僕はどう返信すればいいかわかんないよ…。
@Holy_Abyss 水鉄砲買ってくる( *//｀ω´//)
ヴィレッジヴァンガードで眠りたい。
父の疑問「名探偵コナンの犯人は全身黒タイツ着てるから簡単にバレるんや。あいつら何考えてんねん」
留学生、実家に帰ってきてから久しぶり会う友だらけだわー。そして会う度にわざと握手を求めて「あ、こっちではハンドシェイクは変か」とか留学生アピールをしてごめんなさい。それを朝６時の駅のホームでやってごめんなさい、竹中くん。
@stckr_A_nthn ふぁっ！？字が消えた！？なにこの技術ｗオリキャラいいな。羨ましいです。
@stckr_A_nthn ありがとうございます。嬉しいんだけどこの変わらないアイコンは僕のブランディングで今のところ死ぬまでこいつで行くつもりなんだ。Twitterのアイコンを変えるのは整形に近いと思ってる、誰だかわからなくなるからねー。
@stckr_A_nthn LINEスタンプいいな！出たら買うぞ！暇があったら僕のダメダメクオリティーでシャツとLINEスタンプ作ろうかって思ってたけど、ハイクオリティ見たらやっぱまとまったしっかりした絵で作りたいなーって思った。 https://pic.twitter.com/x1csSG3RIG
@stckr_A_nthn Thanks! 発売したら教えてねーＵ´ㅈ｀Ｕノ
YouTubeの「あなたへのおすすめ」コーナーが野々村さんで埋まってくる昨今ですが、皆さんはいかがお過ごしですか？
女子会、行きたい。ガールズトークしたい。#男だけど
【悲報】同窓会にて僕がアメリカ留学帰りだという情報を得た同級生たちはカラオケでLet it go〜する席を僕に用意。対して、俺氏歌詞を知らないハプニング。どうすんねん。 ＃迫りくる俺のターン #どうする俺
@KMPkarakuri 点数は下手な子が可哀想だから入れてない。どうも映画のワンシーンのMVが流れるようなで、ここは振付けありでカバーしようと思う！←
25歳人生の大掃除なう。片付け最終章にして最大難所、漫画整理をしますよーっと。片付けやってる最中に読んじゃって進まないパターンがもう見えてます。 https://pic.twitter.com/D5ePCfPpM8
ご飯とライス、半々で下さい。
ヨドバシカメラの歌ってなんぞｗｗｗ https://pic.twitter.com/ZCIsugi2ji
【悲報】僕のTSUTAYAカードがきゃりーぱみゅぱみゅになったぞー！と自慢したが、家族黙殺。 https://pic.twitter.com/KPQ1G4CYS8
歯医者のお姉さんに好きと言ってないのに、虫歯が完治してしまった。もう私はcannot meet you。
とうとう明日は七夕ですな。皆様、今年の願い事はお決まりでしょうか？僕は「歯医者のお姉さんが診察中にいきなりキスしてくれますように」。
実家に二年ぶりに帰ってきて、要らないものを掃除中。学ランを発見したので着てみてポケットをごにょごにょしてたらなんか出てきたｗ https://pic.twitter.com/kBWpyR3wju
@stckr_A_nthn 実は二週間前くらいからただいまー。掃除中です。いまだに僕の家には高校二年生の僕の魂が残ってて困るなう。合理主義じゃなくてネタをどれだけ仕込めるかに重きを置いてた、そんな僕。例えば、こんなのとか。 https://pic.twitter.com/v97DIiF9V7
iTunesに東京事変を取り込んだらジャケットがなんかミッキーになった。。。 https://pic.twitter.com/Sc0Ri1d6Yx
留学してて忘れてたけど、そういや俺、風紀委員〈ジャッジメント〉でしたわ。 https://pic.twitter.com/3JU0WVQn10
ネクストコナンズヒント、次回なったらいつも忘れてんだよなー。
25歳が掃除したらカードゲームが出てくる予定調和なう。 https://pic.twitter.com/a6n4S8ztTp
@SHOKATU_KOMEI デュエルマスターズのバランスを潰した凶悪カードですなー。調べたら殿堂入りしてて制限カードらしいが、僕のデッキには三積みでした。時代の差を感じるー。
@se18panda このスリーブは一度は絶対通るよねー。全部キラキラなのが嬉しいが、字が読みにくいことに気づき、交換考えるっていうねｗ
@SHOKATU_KOMEI 現役デュエマプレイヤーの大学院生に訊くと、今スマホアプリが出たとかでiPhoneでタダでできるとかなんとかｗ
25歳が掃除するとだいたい出てくるものなう。どれだけ頑張っても、昔ショッピングモールに来てた名もなきスピナーみたいになれる気がせんねー。 https://pic.twitter.com/bGxpJEuGCf
@SHOKATU_KOMEI 今後に期待って感じだねー。やる気はしませんなー。
人生二度目の歯医者。前回で学び、心構えも完璧だ、と思っていた僕に対し、姉さんが「前回の検査を元に今日は二本治療しますね」。今なんと言った？け、検査だと？あれで検査なのか！？……僕はダメかもしれないよ。。。。(ノд−。)クスン
@gyoupi 治る→お菓子→虫歯→悲劇アゲイン。このサイクルは乗ったらあかんパターンやΣ(´ω｀;)
@gyoupi その間に歯が無くなるよil||li (っω-`｡)il||li
iPhone電池切れすると僕はお家へ帰れないよ。。。。
歯医者のお姉さん可愛いから、痛くても僕泣かない(ノд−。)クスン
@TF141ghost そ・れ・だ！！
僕のスマホの電池が切れてたから道訊くため、道行く女性に「最寄り駅、どこですか？」と言ったら、自宅の最寄り駅を教えてくれてしまった。そして、そこから恋に落ちたかった、が何もないよねーっと。
文房具オフ会に行きたいんだけど、万年筆のブランドとか消しゴムの素材とかご当地限定モデルの定規とかの話されたらどうしよーってなって踏ん切りがつかない。
免許の更新に行くんだけど、途中にあるバスの乗り方がわからなくてこわい←25歳
俺氏、ミシュラン星獲得ラーメン屋に来てみた！秋葉原のヨドバシの上なう。 https://pic.twitter.com/ADyiaEljfV
@Holy_Abyss いえーい。サンクスサンクス。
何？アメリカと違って、日本には自己満足の成れの果て割引がないのか？（驚愕）
自己満足の成れの果て、本日帰国！サラダのマヨネーズかかってる部分を避けて食べてる男を東京で見たら、「自己満足の成れの果てですか？」と訊いてください。おそらくそれは他人ですので、気まずさをお楽しみにください。
@Mocchon333 ただいまー。
飛行機乗る前、靴脱がないといけないらしい。
僕の周り、年中エイプリルフールだわ。
処方箋使わず薬買ったんだけど、なんか六つほど入ってなくて吹いた（仕様だそうだ）。 https://pic.twitter.com/rNc2RyUSUZ
鼻ほじってたのに、俺が見た瞬間に咳込んだふりして「この手は口を覆っただけですよ〜」的な誤魔化しやがった。こやつ、やりよるわ。
3Dプリンターなう。未来を感じ、ワクワクします。作っているのは子供達の笑顔。 https://pic.twitter.com/U5EC9GsH8X
@merihituji ありがとーーーー( *//｀ω´//)
ネットにあったIQテストやってて、気付いたら別のことしてて測定不能というかなんか論外だった(笑)
スタバで座ってたら窓をカシャカシャしてくる変な猫来たＵ´ㅈ｀Ｕ https://pic.twitter.com/QFgGvbtbWZ
僕がどんだけボケてもファボってもらえないのに、勉強中の気分転換に貼った猫画像がファボられまくっててなんか腑に落ちない(ノд−。)クスン
もう自己満足ではいられない。
かと言って「利他主義の成れの果て」ってのもなー。 #さっきの続き
昨日誕生日だったんだけど、誰とも喋らず日が沈みました。
@mkh3_3 サンクスＵ´ㅈ｀Ｕ
@mikuuna39 ども(・ω・人=人・ω・)ども
俺、一時帰国したら、あの娘に愛してるって言うんだ……。
突然、謎インタビュー受け、まさかのフューチャー黒歴史という新ジャンルを開拓。やられたぜ。
スランプで上手く呟けない。
友達がよくナンパされたって話を展開してるんだけど、それはたぶん客引きだと思うの。
@mikuuna39 人数いないとできないし、みんな集まるのなら別のことするだろうから。
【悲報】俺氏、友達からの「おっけい」というメッセを「おっぱい」と誤読。
「僕はもう一生大縄跳びで遊べないんだ」と気づき、なんか涙が出たよなう。
タンスにゴン的なものを調達しようと、棚の場所をスーパーのおばちゃんに訊いたら、「はい、これよー」って渡された。「タンス」は辞書れたけど「ゴン」は気合いだったからなー(ノω｀*) https://pic.twitter.com/xhxyAYJTSP
５２５円の食べ物にドリンクを付けるとなぜか合計額が３００円になる不思議。留学生、アメリカに感動なう。
コーヒー美味しいって言ってる奴はだいたい中二病の延長線だと思ってる。
僕がこのアカウントでツイートするのは悲しい夜さ。。。。
@guttedm 自分の胸に訊いてみな？
記念すべき28801ツイート！！
@guttedm 何とでも言うがいいさ。しかし、他人は騙せても、自分は騙せない、そうだろ？
@eneloopy_myu どもども。最近ちょいと忙しいです。留学生、ストレス発散は結果ですべきとの考えよりツイッターから疎遠気味。。あと、本名でとうとう動き出したからね（ふふふ
@guttedm フッ、俺の空気に圧倒されたか。。。（訳：どうもお世話になっとります。飲食コンサルの就活イベント以来お会いしておりませんが、お元気でしょうか？
リプライ返ってきて「僕、ここに居ていいんだ」ってなった。 #あなたのリプライが誰かを救う
下克上なう。 https://pic.twitter.com/nbCO00QQU3
【悲報】俺氏、徹夜のせいか、いきなり自由の女神を描き始める。 https://pic.twitter.com/1Z57do4QRZ
【悲報】俺氏、同じＴシャツを３枚持っていることがバレる。
@tsuyoshikore なんか僕、Ｔシャツツイート多いよねー。実際そこまでＴシャツばかりな人じゃないんだけどなー。
僕がマイケルジャクソンの声モノマネをやるとキテレツ大百科のトンガリくんになる件。。。
関係者各位マイケルジャクソンをよく聴いてるからって理由でムーンウォークを要求しないでください。
【悲報】俺氏（24歳）夏服デビューしたら女の子に「川でザリガニ採ってそう」と言われる。
【悲報】僕のMacBookProの日本語（ＪＩＳ）キーボード左上の「ぬ」キーだけなんかデカくてダサい((((( ；ﾟДﾟ)))))ぬぬぬぬぬ #気づかねば幸せだった #USキーボードの方がクール https://pic.twitter.com/N16ZJ9OzrQ
自分以外全員嫌いで、自分は大嫌いだ。 #闇モード #中間テスト週間
9ドル（1000円くらい）で挑戦するスクラッチくじなう。デカいの当たったら好きな娘とUSJ行って新アトラクションのハリーポッターだ！ #このあと追加ツイートがないようだったら負けてます #そっとしておいてください https://pic.twitter.com/9O4k0g1Syp
前略、引力に負ける五秒前です。宝くじの自販機の前にATM置くのやめてほしい。 https://pic.twitter.com/bNv9vxt422
倍プッシュだ！（勝ってないけど）  #宝くじ #勝ったら俺結婚するんだ #全種類体験したかったという言い訳 https://pic.twitter.com/qR8pPwsffE
@RyoTaka4 合計で1３ドル勝ち越した。勝利っていうほどではないのだけれど、返金率60%なことを考えるとだいぶ頑張った。
@yoshida_0728 うん。アメリカだとどこにでもあるよー。
@sa_do 悔しいくらい頭いい。買う羽目になったけど、合計で1300円買った( ´ー｀)ﾉいえーい
@pika737 実はカードでも買えたりするんだけどね。まあ、カードにデータ残るの嫌だったのでATMが引力になってしまった。1300円勝ったからよかったけどねー。
【超絶悲報】俺氏、とうとう先生からも既読無視か。
LINEとかのメッセンジャーアプリに電池別売りのときの注釈みたいに「友達が別途必要です」って書いといて欲しい。
【悲報】俺氏、アメリカでミッキーのカードを作り自慢しようとするも日本には初音ミクカードがあるとかなんとかで効果はいまひとつのようだ。。。 https://pic.twitter.com/A3IP0EDo97
こんぶ茶という名の謎ドリンク。 https://pic.twitter.com/maYnNfn06E
@CHOCO0525 今飲んでるんだけど、正体を知りたくなくなる味がするよ。いつぞや赤マンボウ食った時と被る衝撃。ちなみに、赤マンボウを検索すると恐くて泣きそうになるから注意な。
“ballistics（弾道学、ピストルの弾の動きの勉強）”なう。なんかかっこいいなう。
まさか可愛いヤギの動画で半日つぶされるとは思わなんだ。。。
僕ももういい大人だから、今年でエイプリルフールを卒業するんだー。
【速報】俺氏、とうとう彼女ができた！人生は最高だ！..........#だがエイプリルフールだ #嘘には二種類ある #優しい嘘と #虚しい嘘
ﾎｼﾞﾎｼﾞ(￣σ･･￣)..........ﾑｼｬﾑｼｬ(￣σ〜￣)#例えネタがなくてもつぶやかねばならぬときがある
僕の顔文字が安定して分裂する件((((( ；ﾟДﾟ)))))
実は俺、人工知能なんだ。
