text
@tofu_niconico 何を言っているのかわからないままふぁぼってるところがあるので…
部屋の窓を少し開け、ちんちんの先端だけを外に出していたらば、スズメがやって来て「チュン」といった具合にkissをしていきやがりました。こんな所にとんだ泥棒がいたものです。
@takagic_menma51 このシリーズには毎度驚かされる
@Maikan_s すげぇ前！！！！！
@pqdbaaq 覚えています夜。事実ですからね
@niko_j26 こんな断片的な部分だけでわかるわけないだろ！
@skx92 覚えています
@aya20904 お　ま　え　か
@ubebeen 舐める舐めないと言った内容だったような
@Ponpokorin_1234 覚えています！w
@yuru_sab しかと覚えてます
@Tkt_Ktk 覚えています
@r_funi あぁ、もちろんさ
@O_mrn_ もちろんですよ
5万ツイートもしてしまいましたが、リプライを含む全ての呟きを覚えています
@minya_detteiu あれってサービス終了したんじゃなかった？
@O_7oM アッひょっとして今期でアニメ化された奴ですか
@Fuckinshit_KC それ次準決くらいじゃん。初心者にしてはかなり凄いよ
@shamojionigiri 勝ったのか？
@m_y_f_ ひょろひょろの体からは想像できない強烈な一撃でねじ伏せ会場を驚愕させる胸熱な展開だ
@Ri_skt わかりました！僕が直に談判します！
@O_7oM セーラームーン見ない間に随分変わりましたね
@oCRCRo へへ…師の教えに背いたのさ…俺は俺のやり方で克ってやるってさ。その結果がこれだよ。情けないぜ
@MashRoom0302 戸愚呂（兄）（幽遊白書）かよ！！！！？？？？？
@oCRCRo 善戦したものの、最後は重量差に圧倒されました
「楽に高収入を得られる」等と謳ったスカウトは危険です。興味本位でついて行くと目隠しをされ視界が戻るとコロシアムの中央に立たされています。眼前には鼻息を荒くした暴れ牛が後ろ脚を蹴り上げ「ぶち殺したれー！」と野蛮な喚声が耳を劈きます。知らず知らずのうちに剣闘士にさせられてしまうのです
@Cufaaaaaaa ＿人人人人人人人＿＞　 カメックス　＜￣Y^Y^Y^Y^Y^Y￣
@ChineMikuKaeuta なるほど、それなら立ち回り次第では最後までバレないかも知れません！
@ChineMikuKaeuta 出演者でもないのにライブのステージに乱入する等して下さい！
@colnigusu もし行けたら世話になる（概ね行けない）
@sskl0731 トレンドだけはチェックしてるんです
@bakkkky それでも僕は埼京線に乗ります
@BiribiriStockin うるさい！半裸のデブ！
@_ku_ne ぐぬぬ…
ニコニコ超会議に来ましたが思ったより人がいませんね。これからCDのブースへ向かいます！(^_^)/
@Gallows_GRISAIA そんな物騒なものをむっしー君が持ってるわけないだろ！おはよう
@allar_siva わかります？実はこの一週間で500km以上の長距離運転を余儀なくされて精神的に疲れました
むっしー君はファーブルの篇帙に影響され、昆虫に関するあらゆる知識を網羅していきました。虫の生態を極限まで理解した彼はその採集もお手の物。捕獲用の網と餌であるはちみつを用意すると、ホームセンターへと赴き、カブトムシが売られているカゴの鍵をバールで破壊し「むっしっし」と笑いました。
@tp34dg5rh 今でもたまにやります
@CHK810 プリインストールの奴だから無理なんだ
@_4m7_ あざーすｗｗｗｗｗｗｗｗｗｗｗｗ
@O_mrn_ はい
バンジョーとカズーイ2のグランティ産業に出てくる、近づくとスパナを振り回して追いかけてくる敵の真似します「あざーすｗｗｗｗｗｗｗｗｗｗｗｗ」
@snow__castle 流石ミナミの女や。関西弁が板についとるのぉ
@galaxy_fairy09 人人人人人人人人＿＞　女「フニー」　＜￣Y^Y^Y^Y^Y^Y^Y￣
@fumoimouto まだ決まってなくて6月か7月くらい
@fumoimouto しゃーないなw
@frieding http://jin115.com/archives/5207673.html…
＿人人人人人人人人＿＞　女「フニー」　＜￣Y^Y^Y^Y^Y^Y^Y￣
@MEMP_IS 一列目と四列目逆だろw
@amari_sinanai 何弁ですか？興奮しました
@m_y_f_ あんな角刈りのおじさん嫌ですよ…
@hjmg96 なるほど…やっぱり服部平次を参考にしていてはダメなんですね
@__818if ワロタ若い人でもそんなに訛るんですか？
@sz__x7 ！？結構関西弁に近いところがありますね！勉強にもなり、気持ち良い！最高！！！！！
@HlTUJl おっさんじゃないですか
関西弁の女の子に「嘘やろ！ホンマに来おったで！あのなぁ、うちがホンマにあんたみたいなキモいおっさんと寝ると思ったん？おめでたい脳しとんなぁ。普段鏡見てまっか～？きしょいねん！はようどっか行けや！」って言われた過ぎる
@2_9MO うまいよな、僕もチェック済みです
@indoco_octopus マジ？やばくねw
@eastboy0214 うるせぇぞ！動物性油脂！
@pqdbaaq Acid Black Cherry　少女の祈りⅡ
@Potta_kaliw 頭がおかしいとしか思えない
ペニス
@eastboy0214 スーパーの精肉売場に無料で置いてあるんじゃねーよ
@hougyok79 凄すぎワロタ、リアルタイムで見れなかったらTSで必ず見ます！頑張って下さい
@eastboy0214 もう名前牛脂にして
@ATB5k 本当ですか！感動して泣き崩れました！
@mikkun1521 なんだって！まさかそんな描写が出てくるのか！
@kanikaniranchi プラメモと偽恋、あとハルヒのスピンオフに期待している
@ATB5k ニーハイソックス
裸になり全身にパンを貼り付け公園へ行くとハトさんが群がってきます。ハトさんに至るところを啄まれ思わず笑顔になってしまいます。それを見た子供もつられて笑顔に。sing for smile
@Tokiya_fook 海中から通りかかった漁船を襲う！
""
@Natoriumu_84 おい…色彩が完全にsynchronizeじゃないか
@onsmy_waribashi ハッ！そう言えば。私は皆さんに命を救われたのかも知れません
@nyai228 ありがとうございます！！ファミマですね！好きです！！！！
@onsmy_waribashi 正直わかりません
@otarokku0712 はい
@nyai228 どこで売ってるんですか？清涼飲料水オタクですから気になります
@knosuke0371 すまんのぅ…互いにそれぞれ「代紋」しょっとるのはわかっとる。せやかてのぅ、こればっかりはどうしょうもないんじゃ。恋、焦がれてしまったんやから
@kaitooo0824 かなり行きたいけどまだわからないから「興味あり」と言うわけです
@knosuke0371 わいもな、前からおどれのことぉ、えぇ躰やなぁ、おもて見とったんや。乳ぐらい揉ませてくれてもえぇんとちゃうか？おぉん？
@kaitooo0824 いいえ、エルサをモチーフにしています
@kanikaniranchi 久々にいとこと遊んでるからテンション上がっちゃって…この、撮影者、実はいとこなんです
@esatanntiki お前にとってディズニーとはなんなんだ！！！
ディズニーオンアイス。その壮麗な世界観を自宅で再現しました https://pic.twitter.com/p4Jq4gWJAO
@r_funi 8…ここからは鐚一文まからへん
@sinamonchan 休憩中だ
@MEMP_IS 本当はつけていません。注目を集めようとあらぬ嘘をついてしまいました。許して下さい。私は愛国者です
@r_funi 下さい！お願い致します！
@mmmsk_ 「N」です
ん、ブラ外そ
@a__nl 女子大生よる出待ち…！！信じられない！！！！！（歓喜）しかし現時点では当日の状況は分かりかねます……申し訳がありません…
@aya20904 恥ずかしがらないことです
地方から上京してきた若者の実に９割以上が、一ヶ月以内に渋谷のスクランブル交差点の中央で立ち止まり、掌を天にかざし「絶対やってやる！（その地方の方言）」と言いながら拳を作る、ということをします
@ban29130 よくわかったな。神速でアンインストールした
@PPPiPiXiON うっすらと覚えています！使って下さい！
@Tkt_Ktk 夜中に見るとマジでビビるからさ
@horakiris いつも使ってるツイッターのアプリじゃ
@kurageimouto629 妙な圧迫感を覚えたので変えました
@onsmy_waribashi いいよw
@ogeogemasmas242 勇気が湧いてきた
@SiNxxx526 ファクシミリ2台持ちやw（仕事用・プライベート用）
LINEをやったことありません。LINEを嫌悪していますし、LINEをやっている人は信じられません https://pic.twitter.com/TwAaBrOBll
@eastboy0214 記憶の片隅に残っていたのかも…
@nachizail 超会議行く？
@shamojionigiri おいおい！赤系統は紫キャベツ、青系統はクチナシ色素にしてくれよ！ぶっ飛ばすぞ！
@syotasukisuki もはやあなた誰ですか
@shamojionigiri 合成着色料じゃない自然由来の奴にしてくれよ！！？
@0220kajo マジすか！ありがとうございます！現状は誰も来ないので最悪サシになるかも知れませんが宜しくお願いしますね！
@drumdrumdrum424 馬鹿！ウジ！不正受給者！！！！
@kapizusa 気持ち悪ッ！！？
@kapizusa 鰹出汁ですか！？昆布出汁ですか？希釈ですか！？ストレートですか！？
@ueeeexs04 まぁどっちかって言うとそうだな
流しそうめんをやります。竹筒の上流に立ち、そうめんを投入します。時折遊び心を弾ませ、牛脂を流すのも良いですね。下流でそうめんをすくい上げて食べる子供たちはみんな朗らかな笑みを浮かべて楽しそう。おや？一人だけ浮かない様子の子供がいます。一体どうしたのでしょうか。
@harimarimon 行けないのもマジだし来訪者に嫌がらせをしたかったっていうのもマジ
@iroiro_burret 追加徴税払わされるやつでしょそれ！！！
@enpitsu98 「メディア・リテラシー」と書かれた陰部を扱きながら舞台袖から登場したかった・・・
@galaxy61886482 紙地のどうしようもない部分に極太ゴシック体で一筆入れてやりたい
@desunyawa8 かわ湯・・・・・・・・・・＿人人人人人人人人人人＿＞　むしろ憑かれたい　＜￣Y^Y^Y^Y^Y^Y^Y^Y^Y￣
@kano20011020 骨系はマジで怖い！
超会議に行けません。行けたら数多の人の私物（免許証等）に油性ペンで嫌がらせのようにサインを書きまくる等したかったのですが。行かれる方は楽しんで来て下さい…！
@colnigusu 始発で帰るンゴｗｗｗｗ
@colnigusu 凄くはしゃいだね。友達がいないので今度一緒に行ってくれ
@rimatyutyu2525 ヘヘッこんな容姿なら苦労しないぜありがとうございます
@colnigusu お前何モンだよ
コンビニのおにぎりはやっぱ海苔が米と分断されててパリパリの奴より、米に直に巻かれたことにより湿気を吸ってシナッッッ！！！！！！シナッッッ！！！！！！になってる奴の方がいいよな
@haz_81 ヤッター！！ヽ(^o^)丿
@picachi_ なるほどな
@simcatcy やったぜ！是非来てくれよな！
@picachi_ この角度、相当な好き者ですね。誠にありがとうございます！
@picachi_ 決まって白だよな
@picachi_ 下からのアングルを
@RenNyu_j11 窓を突き破り帰宅します
@sugar_sugar714 うわ～い！！！！！やった～！！！！！
@o_0hina まぁそうですよね……僕はベージュでないズボンで行きます
@Suppre33 単純に僕が歌い倒すと思う
@_LQO 僕にもわかりません。何せ気付いたらこうなっていましたから
@Suppre33 俺も肝心なところで誤字してたゅ…
5/4 GW ベージュのズボンを履いている人が何も履いていないように見える時がある祭 in ニコバー新宿http://www.nico-bar.net/eventhouse/sinschedule.html#funi…裸に見えるか否か、という点を題材とし、お客様と押し問答を繰り広げます！是非お越し下さい！
@Suppre33 構わないよ。俺もはなから穿いていく気ないからな
@Suppre33 https://pic.twitter.com/GlXYT6l1oB
@_4m7_ ワロタ
@fujiimoutoo 本当にお前はいつも良いことを言うな
人にレモンをかけるな
@BuMaki まだ誰かに必要とされているのだと知り、感極まってしまいました
@BuMaki は、はぁあ！！！（その場に泣き崩れる）
@7cha7 あなたも臭いんですか…お互いに頑張りましょうね
@allar_siva 臭いのにいいんですか！？
@sinamonchan そんなことはないです
どうして友達が出来ないのか上司に相談したら「くさッッッ！！！！！？？？？ん～、人見知りだからじゃないのか？」と言われました
@mile_oka 一人も居ませんでした。昼休みは寝るかPSPをしていました。でも何とかなります。頑張って下さい
@iroiro_burret 僕の肝機能は元より地に落ちています。医者に「これが…本当に人間の肝臓なのか…」と言われました。証拠に顔が土色をしています
@Rotenburooo わかりました。ナギウンヌィヒッニガグキァウグ！
@nanntyakohu 周りを参考にしつつ無難な路線で行った方がいいです。無理に目立とうとすると僕の二の舞になりますから
@harimarimon その歳で…飲酒を控えて牡蠣を喰わせろ
@Potta_kaliw 呪術ですね。四畳半の敷地に適切に小石を並べ、親指の末端を噛み切り、血で呪印を施します
「大変薄ら寒いネタツイートを得意げに投稿しているツイッタラーだと友達に紹介されたのでフォローさせて頂きました！フォロバありがとうございます！」というDMが来ていたので、当人、並びにその友達に肝機能が低下する呪いをかけました
@ryotarosmile816 来てねぇよ！？
@folence44 そんな綺麗なもんじゃない、奴らは厭らしく景品を取ることしか考えていないんだよ
@colnigusu 不祥事を起こし左遷（とば）されたらよろしく(^-^)/
@colnigusu 駅近かな？飯を喰いに行こう
@hachuki0825 私を口穢く罵りながら棍棒で殴りつけて下さい！お願いします！
@desunyawa8 麩
@_ku_ne 萌えアニメ情報早すぎィ！左下
@desunyawa8 わかりませんがロングって素敵ですよね
@hinapart215 4くらいから結構操作性がシビアになってくるよな
@mofmofunyannko ( ≧ㅂ≦)ち！( ≧3≦)く！( ≧□≦)パ！ (>皿< ｡)ち！(>ε<*)く！(>□<*｡)パ！ ちくわ〜のパフェなんだよ☆ ちくパ♪ちくパ♪ おいしいめう！おしゃれめう！ ヾ(*> υ <)ﾉﾞ ちくパ♪ちくパ♪ CKP！CKP！ ちくパ♪
ゲーセンのUFOキャッチャー、今の位置がベストなのにもう一度ボタンを押さないとクレーンが反応しないっていう状況で「チョンッ」と押す奴いるじゃないですか？そういう奴の襟首に思い切り手刀を振り下ろしてやりたいですよね
@mgt_ 何故歳を取るｗｗやろうな
@mgt_ おめw
@sj_0404haeeun つまみ出される
@iroiro_burret おめでとうございます。しかしコラボキャスというのはコミュ障具合が露呈しますのでとても…
@26skP おどりゃ！
@bump25252 僕、天一派なんです
ふらりと立ち寄ったラーメン屋で何名様かと聞かれたときに「ヘルプで来ました」って答えるの楽しいな
@MashRoom0302 しょうがないなぁ～ https://pic.twitter.com/AwuUlORE4K
@MashRoom0302 美しすぎる！！！！！！！！！！青黒の髪に灼眼が映えている。作者自らがキャラクターに成りきるっていうシチュエーションも相まって、僕は今涙を流しています。本当にありがとうございます
@mik_33 そんなことってあるんですか…僕はあまり食べないので…
@hougyok79 普通にうまいですよ、なのにどうしてあんなにも
@gizagiza_k0n 働け！！！！！！！！！！！
@___2P___ お前か…何度転生するつもりだ
俺ん自慰なw
@96xxlov うめぇ！歌がうまい人は憎いです
@r_funi (*^_^*)
@kosameimouto いいね！
独の有名チョコレートメーカー、ラッセル・オズモンド社とのコラボ製品、僕のシール付きチョコが発売されて5日、感想を賜りましたので一部抜粋させて頂きます。「シールこそ捨てましたが薫り高いカカオ本来の風味を大切にし、しっかりとした苦みの中に主張し過ぎないミルクの甘味を感じる逸品でした」
@2052Moe か、可愛い！
@takagic_menma51 是非やろうぜ！幸い俺もお前も、雅彦も辰年なんだしさ
@gure_son 鬼おめでとうございます！
@takagic_menma51 ホントそうなんだよね、あいつらと来たらさもそれを泳力の様に語るんだから
流れるプールの側らに立ち、目の前を流れていく遊泳者に「馬鹿者！馬鹿者！」と罵声を飛ばす………この夏はそういうことをしたいと思ってるんだ
@vmai_Maio0v 作用点がバイザウェイしてしまったのです
@nazeutata え！マジすか！！！確かにあんな舞を見せつけられたら通報するのが定石ですがそれではあまりにも…残念でなりません
@MashRoom0302 なんか催促してしまったようですみません！！こういったケースは初めてなのでつい舞い上がってしまいました…
@nazeutata ありがとうございます！僕も新作のほう視聴させて頂きたかったのですが＿人人人人人＿＞　 非公開　＜￣Y^Y^Y^Y￣
@MashRoom0302 マジキチたん化は一体いつになるのか…それだけを楽しみに生きているのに…
@nazeutata 通称マン死は採掘出国の死因ナンバーワンですよね！しかしプレートテクトニクスに飲まれてひょっこり頭を出したら未開の地だって言うケースも忘れてはなりませんよ！
@gksoccer1 まぁなw
@nazeutata 「マントル」にやられたんですね…地熱は計り知れないですから……
@ahaaaanxX このキャラよく見るけどマジで誰かわかんないんすよw
@_ku_ne 今見てないんですよ……
@mikkun1521 これは一本取られてしまいました……
三点倒立（右手、アゴ、左手）
@sugar_sugar714 まぁ気にすんなよ！w
@risa_risa_217 本当にすみません！こんなことになろうとは毛ほども！
@ok2serebu 本当に変えていらっしゃる！15秒くらいしか会話したことないのに親近感を抱いてしまいました、ありがとうございます！
@ryoki0801 うるさい！！引っ越せ！
@ok2serebu 違います！違います！でも松下さんは変えて下さい！面白いですから！
@desunyawa8 メジブレイ
@soratobemasu ウッ、見ていませんでした。画伯ですね。混沌としています
@messi_dayo 全てをかなぐり捨てて向かうに決まってるだろ
@warotakun1sai な、何だこれは…
@messi_dayo 童貞サシオフするか
@sugar_sugar714 ちょっと話がある（滝汗）
@ririannnnn 普段は温厚ですがこの仕打ちには流石に腹が立ち、一件ずつ回って玄関先に糞尿をぶちまけてきました
@colnigusu 普通に結構バレてる
@colnigusu や、やめろ～（震えた声）
@sugar_sugar714 違うのに…
二階の部屋の窓から身を乗り出して「セックス！セックス！」と叫んでいるところを近所のおじさんに目撃されてしまったのですが、何も言われなかったので安心していたら町内で回される回覧板において、うちの名義がセックス松下に変わっていました
@sskl0731 動画見ました。歌詞は酷いですが歌うまいですね
@MEMP_IS 確かにそうですが、あなただってデニーズでryu-gaiさんのオムライスを半ば強引に奪って食べていたじゃないですか
@ganmo_akan 口半開きでこちらを見ています
@desunyawa8 キャー！インディゴラエンド歌って下さい！
@kapizusa 涙腺を弛めるポエマーですからね
@cellkitagawa それもう犯罪じゃないですか
隣の席の親子、娘がお子様ランチを頼んだんだ。プレートが机上に置かれるタイミングを見計らって俺は動いた。目を丸くする２人を横目に、俺はお子様ランチに食らいついた。時折上げる雄叫びに畏怖したのか、娘は泣き出した。決して誰かが悪い訳じゃない。ここにいる全員、誰も悪くは、ないんだよ
@Tokiya_fook 三行目と四行目の間に何があったんだよ
@ubebeen 初音ミクの方です。やっぱり成体でないと
@miyosann catwalkとか聴いてみて下さい
@gizagiza_k0n なんてはた迷惑な画像なんだ！！！！！
@Cufaaaaaaa ちんぽ館とは…
@miyosann ╰　╯
╰U╯
@mizorekoebu00 僕の歌詞は構いませんが、作曲者のKEIさんがニコ動以外にアップするのを許可されているかどうか、っていうところですね
@takagic_menma51 無病息災と狩猟繁盛の首飾りをつけているから族長、もしくはそれに準ずる地位であったことは間違いない！
@sskl0731 後で見るッピw
@kukuku_00 ヤッター！！！！！ｗｗｗｗ
@kaz_vo げ！全然わからん
@teruna_teruma いきなりクラッシュギアの話やめて下さい！シャイニングソード無礼ですよ！？
@miidarakusomusi その顔でか！草でも食ってろ！
@MashRoom0302 徐々に内なるコミュ障が頭角を現し始めた頃です…それからの人生は滅茶苦茶さ！！
@iroiro_burret 白狐ではなく白虎、中国からやって来た青年金・李が大陸から伝えた白桜の虎…ドライガー！！！！！！
@MashRoom0302 小4とかですw
@drki_mumu ああ！あの読者考案のベイですね！僕も買いましたよ！謎のオレンジのリングあれいらねぇんじゃねぇかって思います
@hira_saiore そうですね…全員サービスと言うくらいですからただで貰えるのかと思いきや、まさかの購入制でしたから、あの時の怒りは今も色濃く記憶に残っています
@not_naotaro ベアリング軸、当時メタルドラグーンと並んで最強クラスの持久力でしたね
2001年頃発売されたコロコロコミックの応募者全員サービス、ドラグーンストームガンメタバージョンを買った人だけフォロバします
@SiNxxx526 この様な格好で応援してます！頑張って下さい！！！ https://pic.twitter.com/N0nab2qZce
@desunyawa8 こっくりさんに恋をした
@HYT26DETT 洒落た会社ですねヽ(^o^)丿
@desunyawa8 ありがとうございます！ぱっと見ただけですが酷いですね！帰ってきたらまじまじと拝見させていただきます！
 @funiimouto 奪いたい。 https://pic.twitter.com/VBDl9aNRpL
@syotasukisuki 今新歓
私は新入社員時代、ビンゴどころかリーチの時点で立ち上がっただけで「ルーキーが図に乗るな」とトンファーで殴打されカードを奪われました。本来私が手にする筈のコーヒーメーカーを、奪われたのです。そして今、今年の新入社員が「リーチですw」と告げ立ち上がりました。今度はこちらが、奪う番です
@Potta_kaliw この華奢な体でレーザービームが出せると踏んだ自分が恥ずかしい。ニコ生で使って良い？
@Potta_kaliw ありがとうございます！肩幅せまっ！？僕が思い描いていた像そのものです！肩幅せまっ！？
@rimatyutyu2525 ありがとうございます！可愛い！僕の要素は皆無ですが保存させて頂きます
@Tkt_Ktk ばかぢから
@gizagiza_k0n 仕方がないです。僕も軽んじていました…皮膚のすぐ下に骨の膜を張っていなければペシャンコになっていました
@Tkt_Ktk おめでとうございます
昨日、入社式がありましたが、上座に立ち新入社員に「時には厳しくする場面もあるかも知れませんが、新しい仲間を迎えることが出来て今すぐ辞表を置いて出ていけ！！！」と一喝したら全員が泣き叫びながら襲いかかってきたので今病院にいます
@yakisobakuitai 結構古参なんですか！？以外ですね。そこら辺も見てましたが当時の歌ってみたをよく見てました
@__01xxx__ waiwaiwaifooo
@candyrscr どっちでもいいから早く寝ろ！！！！！！！！！
@sskl0731 いいよ！
@yakisobakuitai 2007年からなので一年くらい前
@onsmy_waribashi ありがとうございます！一生しません！
@HlTUJl マジか、死にたくなってきたぞ
僕のニコ生を見てくれたことがある人はわかると思いますが、「画面越しでも臭さが伝わってきます！ニコ動を引退して下さい！」と言うようなコメントが絶えず流れ、僕が号泣している内容が多いです
@_ku_ne お！wいいね！w
@desunyawa8 笑いました。書籍化もしていないのに映画化が決まっていて笑いました
途中の喚声は陰キャラがキレたら何をしでかすか分からない独特の「サイコ感」が出ていると思います。よろしくお願いしますアウターサイエンス　（嫌な話要素が多い）　歌ってみた http://nico.ms/sm25911391 #sm25911391
@0220kajo ？
@iroiro_burret なるほど…僕もご存じの通り潜水だけは誰にも負けません
@CHK810 初期化しろ
@p_q ＿人人人人人人人人人人＿＞　                                 　＜＞　＿人人人人人人＿  　＜＞　＞　 ペンギン　＜　＜＞　￣Y^Y^Y^Y^Y￣        　＜￣Y^Y^Y^Y^Y^Y^Y^Y^Y￣
@soulmate_mssp ＿人人人人人人人人人人＿＞　＿人人人人人人＿  　＜＞　＞　 ペンギン　＜　＜＞　￣Y^Y^Y^Y^Y￣        　＜￣Y^Y^Y^Y^Y^Y^Y^Y^Y￣
@sz__x7 そ、そんなに以前から
＿人人人人人人人人人人＿＞　＿人人人人人人＿　＜＞　＞　ペンギン　＜　＜＞　￣Y^Y^Y^Y^Y￣      　＜￣Y^Y^Y^Y^Y^Y^Y^Y^Y￣
@colnigusu ワロタ！！！！ｗｗｗｗｗｗｗｗｗｗｗｗまだ未成年の頃から…
@SiNxxx526 申し訳ありません…今見返したら確かに「7周年」と「歌い手」と言う単語を使っていませんでした。これでは端から見たらいまいち意図が伝わりませんよね…お許し下さい…
@colnigusu そんな初期からつるんでるのか…
@SiNxxx526 歌い手として7周年を迎えたと言ってるだろ！！！！！いい加減にしろ！！！！！！！
@amnos6345 ありがとうございます！うれしい！心なしか口元がだらいないですね。シャブでもやっているのでしょうか…
@syaruru_dyunoa マジ？
先日歌い手になって7周年を迎えました！こんなことを7年もやっています！
@nx__p8 ありがとうございます！無一文なので助かります
昨日投稿させて頂きましたが今見たら6500円も広告につぎ込まれていたので、驚いて会社を辞めてしまいました！誠にありがとうございます！アウターサイエンス　（嫌な話要素が多い）　歌ってみた http://nico.ms/sm25911391 #sm25911391
@pqdbaaq 流石に一枚画では厳しいものがあります
@colnigusu Foooooooooooooooooooooo!!!!!!!!!!!!!!!!!!!!!!!!!↑↑↑↑↑↑↑↑↑↑↑↑↑↑↑↑↑↑↑↑↑↑↑↑ｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗ
@colnigusu え！竜劾さん垢消し！？失望しました！くぬあみさんのコミュ抜けます！！
@sinamonchan 他人の家を焼却する表現はよく使うが、当事者になるのはゴメンだぜ！！
@Tkt_Ktk 恐らく最近のでは欄外にすら載ってないんじゃないか？
家！燃やさずにはいられない！！
@knosuke0371 ふん！そうやって私のバイブスを上げてソクサリしようったってそうはいかないよ！
@SiNxxx526 男なので乳首ないです
@16cha_love ア、綾鷹氏ｯｯｯ！！！！！
@nazeutata モーガン・クリーク・そしてエネル。俺の中での三強
@SiNxxx526 ヘヘッ！ありがとう！あなたからの義援金でなりたってるんですよ！ｗ
@kanikaniranchi いけね！ｗ
【動画】アウターサイエンス　（嫌な話要素が多い）　歌ってみた http://nico.ms/sm25911391 を投稿しました。 #sm25911391
@syotasukisuki 既プレイでしたか…FOFキャンセルというテクを極めれば無限に戦闘が出来る気さえしてきますよ。PS版死ぬんじゃないかってくらい安いですよね。僕もブックオフでデスティニーを５４円で買いました
@syotasukisuki 大丈夫です。心配には及びません。僕が一番好きなのはアビスです。累計で１２週しましたからね
"@let_cet ""青の祓魔師"""
@uni_uw 大丈夫です。決まりはないので独自でアレンジして下さい
@oOsakusakuOo いいえ、今日は休みでした
皆さんより少し長く生きている私から人生の先輩としてのアドバイスです。つらいことがあっても、自室や車内など音が遮断される空間で「ｵｯﾋﾟｮﾋﾟｮｗｗｗｗｗｗﾌﾌﾝﾝｳﾝﾇﾝｳﾇｳｳｗｗｗｗｗｗｗｗ」など声に出して気持ちの悪い笑い方をすると些細なことはどうでも良くなるのでオススメです
@syotasukisuki あ、遅れてしまいましたが構いません。むしろ舞を見てみたいです！！
@penta_nico も、萌え～～～～～～～！！！！！！！！！ｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗ
@penta_nico え！そうだったんですか！「～はる」という方言を使い私を蹴って欲しいです！
 食べ放題に来てテンションの高しみを抑えられないコミュ障のキモオタ「ﾋﾞｭｯﾌｪｗ」
@uriarosso (´へεへ`*) ＜ ふぁぼを加速させろ
@desunyawa8 ワーーーーーーー！！！！（どちらの要素も皆無ではありますが）ありがとうございます。こうして見ると僕ってひょっとしてお洒落なんじゃないですか？
@pattyooo822 日本本来の美しさが色褪せることなく軒を連ねる街並み。昼と夜とで顔を変える造形美、そして、祇園の華やぎ。うち、京都人でほんま良かった
@anemone_0331 ワロタ
@amnos6345 ヒョ！ありがとうございます！後ほど拝見させて頂きます！
京都は観光地ですから当然外来者も多いわけで、道を尋ねようにも現地の方を見つけないといけないので一苦労。そこで、京都の方とそうでない方の簡単な見分け方。薙刀を持っているのが京都人、薙刀を持っていないのが観光客です。
@ayatan6324 勿論です！最短では3ヶ月で支店長に就任した例もあります
@ntk9639 大丈夫ですよ。優しい先輩社員がレクチャーしてくれます
@Gallows_GRISAIA 普通自動車免許があれば大丈夫です
@raru2marinan 15万円＋歩合です。社員旅行あり（昨年は北京に行きました）
@indaco_octopus 年齢不問、四大卒、経験者は優遇します
【40代主婦の方大活躍中！社長に石を投げるだけの簡単なお仕事です】弊社は創業80年以上の老舗。高度経済成長期を一代で支えた先代の七光りを振りかざし、汚職を繰り返す二代目クズ経営者を失脚させるべく、社員一丸となって投石を行います！ほとんどのスタッフが未経験からスタートしています！
@Re___rn あぁ！あなたは！ありがとうございました。お二人とも鮮血滴る生肉を貪っており何事かと思いました
@ayakorin_36 昨夏Zepp Nagoyaへと赴き、彼らのパフォーマンスを目の当たりにました。あまりに圧倒的で、感動しました…
@ayakorin_36 ＼いらっしゃいませ！／＼いらっしゃいませ！／（回転ヘドバン）
@kariumu64 御神酒で神主かよ！というわけね
@mmma_ria 僕は殴られました…軽い脳震盪を起こしよろけている所を他の店員に囲まれ「いらっしゃいませ！いらっしゃいませ！」と煽られたのです
@2052Moe え！もえにゃビール飲むんですか！？！？おっさんかよ…
居酒屋でワインを頼むと「貴族かよ！！！！！」と言われて殴られる
@ryotarosmile816 いつか…な
@asuozinori_ ありがとうございます。忘れていたあの頃の気持ちを思い出しました
@kusogatukaenai しょうがないなぁ
@asuozinori_ ﾀﾗﾀｬﾝやって下さい
@asuozinori_ 自分の金で食いなさい。馬鹿者よ
ﾃﾚｯﾃﾚ-ﾚ-ﾃﾚｯﾃﾚ-ﾚ-￣￣￣￣￣￣￣￣￣￣  ――  と(  ‘ᾥ’ ) ￣￣―― ‐   /🍜⊂_ノ  ―   ――./ ／⌒￣ｿ ￣￣  -’´      ￣￣￣￣￣￣￣￣￣￣￣￣SUSHI OGORI MAN
@fumoimouto もう一声！
@pqdbaaq 名古屋なうw誰かいないかな〜？誰か〜誰か氏〜w とりあえず栄向かってますw 誰かいないかな〜w おっ、ふに（妹）さんも栄いるのか〜(空リプ) お腹空いたな〜誰か昼飯でもどうですか？w さて、そろそろ帰りま〜す！
@fumoimouto おじさん焼肉奢ってよ
@onsmy_waribashi 最近買った初期のデスティニーが頓挫した僕にテイルズを語る資格なんてないんですよ…
@amnos6345 ありがとうございます。道理で老いる訳だ
@1_The_Yeah アァー、その手がありましたね！結果は違っていたかも知れません
@harimarimon 「眼力」だけで微動だに出来なかった。奴との力の差は歴然だ
